tx	gene_id	HBRRep1	HBRRep2	HBRRep3	UHRRep1	UHRRep2	UHRRep3
ENST00000215882	ENSG00000100075	0	199.568393	176.55954	545.811384	520.493531	606.871787
ENST00000451283	ENSG00000100075	196.758999	0	0	62.155485	0	138.889386
ENST00000470922	ENSG00000100075	0	27.039576	0	0	16.862309	0
ENST00000461267	ENSG00000100075	0	0	26.581489	0	0	13.035847
ENST00000468824	ENSG00000100075	0	0	0	0	0	0
ENST00000621271	ENSG00000070371	43.720956	38.552369	0	0	0	0
ENST00000427926	ENSG00000070371	0	0	0	46.924712	40.094408	44.298227
ENST00000412649	ENSG00000070371	4.549087	4.019829	6.0349	6.464081	11.004114	12.434857
ENST00000622493	ENSG00000070371	0	0	0	0	0	0
ENST00000617926	ENSG00000070371	0	0	0	0	0	0
ENST00000615606	ENSG00000070371	0	8.254915	0	12.208462	8.220426	0
ENST00000617103	ENSG00000070371	0	0	43.644591	0	0	11.535737
ENST00000538828	ENSG00000070371	0	0	0	0	0	0
ENST00000611723	ENSG00000070371	0	0	0	8.555337	0	0
ENST00000458188	ENSG00000070371	0	0	0	13.955629	0	0
ENST00000540896	ENSG00000070371	0	0	0	0	21.061433	0
ENST00000433141	ENSG00000230194	0	0	66.360774	0	49.190063	0
ENST00000516131	ENSG00000251940	0	0	0	0	0	0
ENST00000449918	ENSG00000070371	0	0	27.402901	0	0	0
ENST00000446618	ENSG00000233471	0	0	0	0	0	0
ENST00000340170	ENSG00000100084	0	0	0	0	0	0
ENST00000263208	ENSG00000100084	172.448005	170.672495	118.386369	202.976343	194.106296	201.684773
ENST00000509549	ENSG00000242259	0	0	0	8.596222	43.027252	0
ENST00000463821	ENSG00000244296	0	0	0	0	0	0
ENST00000464189	ENSG00000100084	0	31.48855	0	0	24.312486	0
ENST00000452818	ENSG00000100084	0	0	0	0	0	0
ENST00000333130	ENSG00000185608	137.125226	29.397065	99.558828	167.253307	154.709273	124.897714
ENST00000443660	ENSG00000185608	112.615906	280.826574	166.785078	293.691249	278.352357	355.336673
ENST00000471259	ENSG00000185608	0	0	0	14.69483	0	14.764338
ENST00000399568	ENSG00000242259	132.439634	143.085483	166.503793	87.29098	228.778399	191.313613
ENST00000542103	ENSG00000242259	0	0	0	0	0	0
ENST00000399562	ENSG00000242259	111.706109	106.891044	102.568779	79.473383	108.045594	73.319174
